card_type,card_language,card_year,card_name,card_set_name,card_number,card_rarity,card_rarity_short,card_detail,set_type,image_url,card_special,info_intern
One Piece Card Game,Japanese,2022,Roronoa Zoro,BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-001,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-001.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Roronoa Zoro (Parallel),BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-001,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-001_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Trafalgar Law,BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-002,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-002.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Trafalgar Law (Parallel),BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-002,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-002_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Monkey.D.Luffy,BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-003,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-003.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Monkey.D.Luffy (Parallel),BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-003,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-003_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Usopp,BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-004,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-004.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Uta,BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-005,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-005.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Otama,BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-006,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-006.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Caribou,BOOSTER PACK -ROMANCE DAWN- [OP-01],OP01-007,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-007.png,,-ROMANCE DAWN- [OP-01]
